model,columns_encoded,test_f1_weighted_mean,test_f1_weighted_min,test_f1_weighted_max,test_f1_weighted_std,train_f1_weighted_mean,train_f1_weighted_min,train_f1_weighted_max,train_f1_weighted_std,test_f1_micro_mean,test_f1_micro_min,test_f1_micro_max,test_f1_micro_std,train_f1_micro_mean,train_f1_micro_min,train_f1_micro_max,train_f1_micro_std,test_f1_macro_mean,test_f1_macro_min,test_f1_macro_max,test_f1_macro_std,train_f1_macro_mean,train_f1_macro_min,train_f1_macro_max,train_f1_macro_std,test_recall_weighted_mean,test_recall_weighted_min,test_recall_weighted_max,test_recall_weighted_std,train_recall_weighted_mean,train_recall_weighted_min,train_recall_weighted_max,train_recall_weighted_std,test_recall_micro_mean,test_recall_micro_min,test_recall_micro_max,test_recall_micro_std,train_recall_micro_mean,train_recall_micro_min,train_recall_micro_max,train_recall_micro_std,test_recall_macro_mean,test_recall_macro_min,test_recall_macro_max,test_recall_macro_std,train_recall_macro_mean,train_recall_macro_min,train_recall_macro_max,train_recall_macro_std,test_precision_weighted_mean,test_precision_weighted_min,test_precision_weighted_max,test_precision_weighted_std,train_precision_weighted_mean,train_precision_weighted_min,train_precision_weighted_max,train_precision_weighted_std,test_precision_micro_mean,test_precision_micro_min,test_precision_micro_max,test_precision_micro_std,train_precision_micro_mean,train_precision_micro_min,train_precision_micro_max,train_precision_micro_std,test_precision_macro_mean,test_precision_macro_min,test_precision_macro_max,test_precision_macro_std,train_precision_macro_mean,train_precision_macro_min,train_precision_macro_max,train_precision_macro_std,test_accuracy_mean,test_accuracy_min,test_accuracy_max,test_accuracy_std,train_accuracy_mean,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_min,train_balanced_accuracy_max,train_balanced_accuracy_std,fit_time_mean,fit_time_min,fit_time_max,fit_time_std,score_time_mean,score_time_min,score_time_max,score_time_std
"SVC(kernel='linear', random_state=7742)","Source Port, Destination Port, NAT Source Port",0.9968767787283191,0.9965032569757795,0.9972606423735835,0.0002517958386440034,0.9986134434850957,0.9985147876039596,0.9987058869465584,6.379891452987529e-05,0.9969480159460871,0.996609020006782,0.997371990505256,0.00025711723194074424,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9173644943231624,0.8901088323055973,0.969531712498954,0.03074334223660717,0.9988618710951181,0.9987750819082892,0.9989390714621044,5.348303305521009e-05,0.9969480159460871,0.996609020006782,0.997371990505256,0.00025711723194074424,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9969480159460871,0.996609020006782,0.997371990505256,0.00025711723194074424,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.8797642326046804,0.8476519254243566,0.9479026977892862,0.038566142775951925,0.998800366157429,0.9983744244645434,0.9992802448499898,0.00039358449254041236,0.996955519598802,0.9966206840848167,0.9973754719813839,0.00025529543728833743,0.9986176986735431,0.9985192230455169,0.9987094731362921,6.348206233004737e-05,0.9969480159460871,0.996609020006782,0.997371990505256,0.00025711723194074424,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9974825274762024,0.9965032744183184,0.998292448538049,0.0007327250007418659,0.9989277031284951,0.9984235904989098,0.999296065054387,0.00038589772313569136,0.9969480159460871,0.996609020006782,0.997371990505256,0.00025711723194074424,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.8797642326046804,0.8476519254243566,0.9479026977892862,0.038566142775951925,0.998800366157429,0.9983744244645434,0.9992802448499898,0.00039358449254041236,29.592915058135986,26.055253505706787,33.35250926017761,2.7185259653634306,2.7588879585266115,2.6904079914093018,2.827434778213501,0.0462201199114376
"SVC(kernel='linear', random_state=7742)","Source Port, Destination Port, NAT Source Port, NAT Destination Port",0.9968598446460446,0.9965032569757795,0.9972606423735835,0.00026355593016271715,0.9986134434850957,0.9985147876039596,0.9987058869465584,6.379891452987529e-05,0.9969310610461208,0.996609020006782,0.997371990505256,0.00027019448054089686,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.917351562953072,0.8901088323055973,0.969531712498954,0.03073599778072111,0.9988618710951181,0.9987750819082892,0.9989390714621044,5.348303305521009e-05,0.9969310610461208,0.996609020006782,0.997371990505256,0.00027019448054089686,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9969310610461208,0.996609020006782,0.997371990505256,0.00027019448054089686,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.8797568525308795,0.8476519254243566,0.9479026977892862,0.03856286055740477,0.998800366157429,0.9983744244645434,0.9992802448499898,0.00039358449254041236,0.9969384078907858,0.9966206840848167,0.9973754719813839,0.00026889035401432955,0.9986176986735431,0.9985192230455169,0.9987094731362921,6.348206233004737e-05,0.9969310610461208,0.996609020006782,0.997371990505256,0.00027019448054089686,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9974638647138464,0.9965032744183184,0.998292448538049,0.0007260939862241696,0.9989277031284951,0.9984235904989098,0.999296065054387,0.00038589772313569136,0.9969310610461208,0.996609020006782,0.997371990505256,0.00027019448054089686,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.8797568525308795,0.8476519254243566,0.9479026977892862,0.03856286055740477,0.998800366157429,0.9983744244645434,0.9992802448499898,0.00039358449254041236,34.86875615119934,31.68404269218445,38.076043367385864,2.468838582758105,3.0629003047943115,2.8955211639404297,3.187483072280884,0.10515829244422834
"SVC(kernel='linear', random_state=7742)","Source Port, Destination Port, NAT Destination Port",0.9968598446460446,0.9965032569757795,0.9972606423735835,0.00026355593016271715,0.9985879410953785,0.9985147876039596,0.9986846526524413,5.6180797292370865e-05,0.9969310610461208,0.996609020006782,0.997371990505256,0.00027019448054089686,0.9985884568742318,0.9985163833665381,0.9986859395532195,5.6231296150269046e-05,0.917351562953072,0.8901088323055973,0.969531712498954,0.03073599778072111,0.9975647813689605,0.9956171624652038,0.9989228168942303,0.0015654944321763866,0.9969310610461208,0.996609020006782,0.997371990505256,0.00027019448054089686,0.9985884568742318,0.9985163833665381,0.9986859395532195,5.6231296150269046e-05,0.9969310610461208,0.996609020006782,0.997371990505256,0.00027019448054089686,0.9985884568742318,0.9985163833665381,0.9986859395532195,5.6231296150269046e-05,0.8797568525308795,0.8476519254243566,0.9479026977892862,0.03856286055740477,0.9962497796236158,0.9922169576392678,0.9992472124679546,0.0030560021543962665,0.9969384078907858,0.9966206840848167,0.9973754719813839,0.00026889035401432955,0.9985922468828775,0.9985192230455169,0.9986883620489666,5.589747474102406e-05,0.9969310610461208,0.996609020006782,0.997371990505256,0.00027019448054089686,0.9985884568742318,0.9985163833665381,0.9986859395532195,5.6231296150269046e-05,0.9974638647138464,0.9965032744183184,0.998292448538049,0.0007260939862241696,0.9989165951943733,0.9984142201293722,0.999286876278352,0.00038782427624195953,0.9969310610461208,0.996609020006782,0.997371990505256,0.00027019448054089686,0.9985884568742318,0.9985163833665381,0.9986859395532195,5.6231296150269046e-05,0.8797568525308795,0.8476519254243566,0.9479026977892862,0.03856286055740477,0.9962497796236158,0.9922169576392678,0.9992472124679546,0.0030560021543962665,28.130873060226442,25.68643569946289,29.971153497695923,1.70371113162314,2.7406808853149416,2.6924386024475098,2.8184192180633545,0.04707601270420365
LinearSVC(random_state=7742),"Source Port, Destination Port, NAT Destination Port",0.9968202690850297,0.9965032569757795,0.9972606423735835,0.0002806501527030394,0.998600715417628,0.9985147876039596,0.9987058869465584,6.423013499198402e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986011734983931,0.9985163833665381,0.9987071340765546,6.428214556478294e-05,0.9131626506301058,0.8901088323055973,0.9695961445739708,0.029516844904630548,0.9988521373364352,0.9987750819082892,0.9989390714621044,5.349172064745909e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986011734983931,0.9985163833665381,0.9987071340765546,6.428214556478294e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986011734983931,0.9985163833665381,0.9987071340765546,6.428214556478294e-05,0.8747494724570789,0.8476519254243566,0.9479395981582899,0.037649667523126686,0.9987864648259638,0.9983744244645434,0.9992570752485068,0.0003861473562429945,0.9969037291148968,0.9966206840848167,0.9973754719813839,0.0002756767405534907,0.9986049370386517,0.9985192230455169,0.9987094731362921,6.389148957091049e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986011734983931,0.9985163833665381,0.9987071340765546,6.428214556478294e-05,0.997426051326568,0.9965032744183184,0.998292448538049,0.0006654343641241307,0.9989221187289731,0.9984142201293722,0.999296065054387,0.0003889617036752851,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986011734983931,0.9985163833665381,0.9987071340765546,6.428214556478294e-05,0.8747494724570789,0.8476519254243566,0.9479395981582899,0.037649667523126686,0.9987864648259638,0.9983744244645434,0.9992570752485068,0.0003861473562429945,2.029779863357544,0.713587760925293,2.849905252456665,0.7875616364588102,0.4318831920623779,0.4240429401397705,0.4471006393432617,0.00829206014208983
"LinearSVC(max_iter=20000, random_state=7742)","Source Port, Destination Port, NAT Source Port, NAT Destination Port",0.9968202690850297,0.9965032569757795,0.9972606423735835,0.0002806501527030394,0.9986134434850957,0.9985147876039596,0.9987058869465584,6.379891452987529e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9131626506301058,0.8901088323055973,0.9695961445739708,0.029516844904630548,0.9988618710951181,0.9987750819082892,0.9989390714621044,5.348303305521009e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.8747494724570789,0.8476519254243566,0.9479395981582899,0.037649667523126686,0.998800366157429,0.9983744244645434,0.9992802448499898,0.00039358449254041236,0.9969037291148968,0.9966206840848167,0.9973754719813839,0.0002756767405534907,0.9986176986735431,0.9985192230455169,0.9987094731362921,6.348206233004737e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.997426051326568,0.9965032744183184,0.998292448538049,0.0006654343641241307,0.9989277031284951,0.9984235904989098,0.999296065054387,0.00038589772313569136,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.8747494724570789,0.8476519254243566,0.9479395981582899,0.037649667523126686,0.998800366157429,0.9983744244645434,0.9992802448499898,0.00039358449254041236,3.0331412315368653,1.782557487487793,4.139889717102051,1.0170814359261893,0.4208694934844971,0.41006040573120117,0.43210363388061523,0.008354156370520466
LinearSVC(random_state=7742),"Source Port, Destination Port, NAT Source Port, NAT Destination Port",0.9968202690850297,0.9965032569757795,0.9972606423735835,0.0002806501527030394,0.9986134434850957,0.9985147876039596,0.9987058869465584,6.379891452987529e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9131626506301058,0.8901088323055973,0.9695961445739708,0.029516844904630548,0.9988618710951181,0.9987750819082892,0.9989390714621044,5.348303305521009e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.8747494724570789,0.8476519254243566,0.9479395981582899,0.037649667523126686,0.998800366157429,0.9983744244645434,0.9992802448499898,0.00039358449254041236,0.9969037291148968,0.9966206840848167,0.9973754719813839,0.0002756767405534907,0.9986176986735431,0.9985192230455169,0.9987094731362921,6.348206233004737e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.997426051326568,0.9965032744183184,0.998292448538049,0.0006654343641241307,0.9989277031284951,0.9984235904989098,0.999296065054387,0.00038589772313569136,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.8747494724570789,0.8476519254243566,0.9479395981582899,0.037649667523126686,0.998800366157429,0.9983744244645434,0.9992802448499898,0.00039358449254041236,2.10581579208374,1.8239526748657227,2.260050058364868,0.15471276964246325,0.42647085189819334,0.4230637550354004,0.4320967197418213,0.003084366891101542
"LinearSVC(max_iter=20000, random_state=7742)","Source Port, Destination Port, NAT Destination Port",0.9968202690850297,0.9965032569757795,0.9972606423735835,0.0002806501527030394,0.998600715417628,0.9985147876039596,0.9987058869465584,6.423013499198402e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986011734983931,0.9985163833665381,0.9987071340765546,6.428214556478294e-05,0.9131626506301058,0.8901088323055973,0.9695961445739708,0.029516844904630548,0.9988521373364352,0.9987750819082892,0.9989390714621044,5.349172064745909e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986011734983931,0.9985163833665381,0.9987071340765546,6.428214556478294e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986011734983931,0.9985163833665381,0.9987071340765546,6.428214556478294e-05,0.8747494724570789,0.8476519254243566,0.9479395981582899,0.037649667523126686,0.9987864648259638,0.9983744244645434,0.9992570752485068,0.0003861473562429945,0.9969037291148968,0.9966206840848167,0.9973754719813839,0.0002756767405534907,0.9986049370386517,0.9985192230455169,0.9987094731362921,6.389148957091049e-05,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986011734983931,0.9985163833665381,0.9987071340765546,6.428214556478294e-05,0.997426051326568,0.9965032744183184,0.998292448538049,0.0006654343641241307,0.9989221187289731,0.9984142201293722,0.999296065054387,0.0003889617036752851,0.9968971483712586,0.996609020006782,0.997371990505256,0.0002765248460557938,0.9986011734983931,0.9985163833665381,0.9987071340765546,6.428214556478294e-05,0.8747494724570789,0.8476519254243566,0.9479395981582899,0.037649667523126686,0.9987864648259638,0.9983744244645434,0.9992570752485068,0.0003861473562429945,3.0033641338348387,1.2506539821624756,6.071457862854004,1.8051137415121483,0.40964446067810056,0.3990747928619385,0.4289894104003906,0.011062338858917236
LinearSVC(random_state=7742),"Source Port, Destination Port, NAT Source Port",0.9968033381482577,0.9965032569757795,0.9972606423735835,0.00029450582387137425,0.9986134434850957,0.9985147876039596,0.9987058869465584,6.379891452987529e-05,0.9968801934712926,0.996609020006782,0.997371990505256,0.00029070870967897263,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9131497226981498,0.8901088323055973,0.9695961445739708,0.02951650278689634,0.9988618710951181,0.9987750819082892,0.9989390714621044,5.348303305521009e-05,0.9968801934712926,0.996609020006782,0.997371990505256,0.00029070870967897263,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9968801934712926,0.996609020006782,0.997371990505256,0.00029070870967897263,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.874742092383278,0.8476519254243566,0.9479395981582899,0.03765022304644143,0.998800366157429,0.9983744244645434,0.9992802448499898,0.00039358449254041236,0.9968866301446896,0.9966107727072245,0.9973754719813839,0.00029027904223856676,0.9986176986735431,0.9985192230455169,0.9987094731362921,6.348206233004737e-05,0.9968801934712926,0.996609020006782,0.997371990505256,0.00029070870967897263,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9974074024870431,0.9965032744183184,0.998292448538049,0.0006591695801367485,0.9989277031284951,0.9984235904989098,0.999296065054387,0.00038589772313569136,0.9968801934712926,0.996609020006782,0.997371990505256,0.00029070870967897263,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.874742092383278,0.8476519254243566,0.9479395981582899,0.03765022304644143,0.998800366157429,0.9983744244645434,0.9992802448499898,0.00039358449254041236,1.5424699306488037,1.2158825397491455,1.8429162502288818,0.20046217808834765,0.4294751644134521,0.423095703125,0.44209980964660645,0.006603720791890613
"LinearSVC(max_iter=20000, random_state=7742)","Source Port, Destination Port, NAT Source Port",0.9968033381482577,0.9965032569757795,0.9972606423735835,0.00029450582387137425,0.9986134434850957,0.9985147876039596,0.9987058869465584,6.379891452987529e-05,0.9968801934712926,0.996609020006782,0.997371990505256,0.00029070870967897263,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9131497226981498,0.8901088323055973,0.9695961445739708,0.02951650278689634,0.9988618710951181,0.9987750819082892,0.9989390714621044,5.348303305521009e-05,0.9968801934712926,0.996609020006782,0.997371990505256,0.00029070870967897263,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9968801934712926,0.996609020006782,0.997371990505256,0.00029070870967897263,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.874742092383278,0.8476519254243566,0.9479395981582899,0.03765022304644143,0.998800366157429,0.9983744244645434,0.9992802448499898,0.00039358449254041236,0.9968866301446896,0.9966107727072245,0.9973754719813839,0.00029027904223856676,0.9986176986735431,0.9985192230455169,0.9987094731362921,6.348206233004737e-05,0.9968801934712926,0.996609020006782,0.997371990505256,0.00029070870967897263,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.9974074024870431,0.9965032744183184,0.998292448538049,0.0006591695801367485,0.9989277031284951,0.9984235904989098,0.999296065054387,0.00038589772313569136,0.9968801934712926,0.996609020006782,0.997371990505256,0.00029070870967897263,0.9986138900327151,0.9985163833665381,0.9987071340765546,6.372228551445333e-05,0.874742092383278,0.8476519254243566,0.9479395981582899,0.03765022304644143,0.998800366157429,0.9983744244645434,0.9992802448499898,0.00039358449254041236,3.50703911781311,1.3093109130859375,8.274425506591797,2.5752088241580786,0.42047533988952634,0.3940882682800293,0.43109583854675293,0.013684398064148371
"LinearSVC(max_iter=20000, random_state=7742)","Destination Port, NAT Source Port, NAT Destination Port",0.9966887727998068,0.9959079581732304,0.9972600793096331,0.0005014986885555222,0.9976662589979316,0.9975369408023805,0.9978386991383404,0.00010598749903613213,0.996761507734065,0.9960155985079688,0.997371990505256,0.00048668298454023406,0.9976686226470546,0.9975414352931202,0.9978381586198126,0.0001046829851500988,0.917276988556383,0.8896885786957862,0.9698664342464847,0.030956811372718027,0.9953963537044548,0.9946066189239409,0.9981265181812407,0.0013663683624596066,0.996761507734065,0.9960155985079688,0.997371990505256,0.00048668298454023406,0.9976686226470546,0.9975414352931202,0.9978381586198126,0.0001046829851500988,0.996761507734065,0.9960155985079688,0.997371990505256,0.00048668298454023406,0.9976686226470546,0.9975414352931202,0.9978381586198126,0.0001046829851500988,0.8795769418700526,0.8473718676400996,0.9481865459366496,0.038822668737264,0.9927307746750327,0.9909673134246579,0.9984594266934328,0.0028804730012693303,0.9967682223656642,0.996020340204569,0.9973776659838837,0.00048660441204336554,0.9976731649494779,0.9975476849129782,0.9978408598362827,0.0001038242294225882,0.996761507734065,0.9960155985079688,0.997371990505256,0.00048668298454023406,0.9976686226470546,0.9975414352931202,0.9978381586198126,0.0001046829851500988,0.9974970756668988,0.9962932909219215,0.998405737065363,0.0007308694513099991,0.9981366769232345,0.9976430019357945,0.9984940920544172,0.0003476515765407483,0.996761507734065,0.9960155985079688,0.997371990505256,0.00048668298454023406,0.9976686226470546,0.9975414352931202,0.9978381586198126,0.0001046829851500988,0.8795769418700526,0.8473718676400996,0.9481865459366496,0.038822668737264,0.9927307746750327,0.9909673134246579,0.9984594266934328,0.0028804730012693303,6.718797111511231,2.1764349937438965,11.169912099838257,2.9033546861531185,0.41769752502441404,0.39409637451171875,0.4270966053009033,0.012154202666424635
